"Var1","Freq","prop","sample"
"Malignant",39163,0.391810232707045,"TCGA-AN-A0XP"
"Myoepi",8424,0.0842787682333874,"TCGA-AN-A0XP"
"Plasma",68,0.000680312943954219,"TCGA-AN-A0XP"
"Stromal",23864,0.238749824919463,"TCGA-AN-A0XP"
"T",7246,0.0724933469395922,"TCGA-AN-A0XP"
"unassigned",144,0.00144066270484423,"TCGA-AN-A0XP"
"B",110,0.00312828825754344,"TCGA-AN-A0XW"
"DC_Mast",478,0.0135938344282342,"TCGA-AN-A0XW"
"Macrophage",2141,0.0608878650854591,"TCGA-AN-A0XW"
"Malignant",24838,0.706367488553309,"TCGA-AN-A0XW"
"Myoepi",3107,0.0883599237835224,"TCGA-AN-A0XW"
"Plasma",5,0.000142194920797429,"TCGA-AN-A0XW"
"Stromal",2430,0.0691067315075505,"TCGA-AN-A0XW"
"T",2008,0.0571054801922475,"TCGA-AN-A0XW"
"unassigned",46,0.00130819327133635,"TCGA-AN-A0XW"
"B",52,0.000520182063722303,"TCGA-AO-A03L"
"DC_Mast",205,0.00205071775121292,"TCGA-AO-A03L"
"Macrophage",1283,0.0128344920722253,"TCGA-AO-A03L"
"Malignant",80464,0.804921722602911,"TCGA-AO-A03L"
"Myoepi",8783,0.087860751262942,"TCGA-AO-A03L"
"Plasma",12,0.000120042014705147,"TCGA-AO-A03L"
"Stromal",8423,0.0842594908217876,"TCGA-AO-A03L"
"T",727,0.00727254539088681,"TCGA-AO-A03L"
"unassigned",16,0.000160056019606862,"TCGA-AO-A03L"
"B",11,0.000110052825356171,"TCGA-AO-A0JE"
"DC_Mast",51,0.000510244917560429,"TCGA-AO-A0JE"
"Macrophage",591,0.00591283816231791,"TCGA-AO-A0JE"
"Malignant",73431,0.734662638066272,"TCGA-AO-A0JE"
"Myoepi",11491,0.114965183287978,"TCGA-AO-A0JE"
"Plasma",14,0.00014006723227149,"TCGA-AO-A0JE"
"Stromal",14217,0.142238274371698,"TCGA-AO-A0JE"
"T",86,0.000860412998239155,"TCGA-AO-A0JE"
"unassigned",60,0.000600288138306387,"TCGA-AO-A0JE"
"B",33,0.000330148566855085,"TCGA-AO-A12D"
