"pred_type","gene","gene_set","model_id","cor_pearson","nrmse_sd","js_div","mi","ssim","auc_0"
"test","ADAM15","All Genes","Hist2ST",0.0286554603249655,2.32828275939501,0.195429092189852,0.0761985930884831,0.0323846699466479,0.603718403182562
"test","ADAM15","All Genes","ST-Net",0.0282761051181187,2.36728138989795,0.298172826904838,0.0552622138801432,0.0285922380784144,0.513197561585342
"test","ADAM15","All Genes","THItoGene",0.0378568739635788,2.55466938257916,0.196443081979522,0.071051049926384,0.0366833949455561,0.595047449230548
"test","ADAM15","All Genes","iStar",0.0551273159880335,2.59201972843354,0.402521722595047,0.0393099229137951,0.0541315511327966,0.545668937224242
"test","ADAM15","HVGs","DeepPT",0.136823783309547,2.50878816500525,0.271287066404018,0.0585210286793761,0.126400864238021,0.570820446159343
"test","ADAM15","HVGs","DeepSpaCE",-0.00161661078245744,2.71824920958915,0.306353766888289,0.0465373977726362,0.00650399933402401,0.480148150868059
"test","ADAM15","HVGs","GHIST",0.170200240920258,1.77642062143762,0.217029580469484,0.0574386377074865,0.162159660707629,0.570534646646622
"test","ADAM15","HVGs","GeneCodeR",0.0675687624533971,2.2908546467391,0.250794715955761,0.0450844234565877,0.0463238348642223,0.522182622912684
"test","ADAM15","HVGs","HisToGene",0.0423932320727485,2.12525081716008,0.195491708565201,0.0654201781812099,0.0440235498548099,0.559195355002182
"test","ADAM15","HVGs","Hist2ST",0.0286554603249655,2.32828275939501,0.195429092189852,0.0761985930884831,0.0323846699466479,0.603718403182562
"test","ADAM15","HVGs","ST-Net",0.0282761051181187,2.36728138989795,0.298172826904838,0.0552622138801432,0.0285922380784144,0.513197561585342
"test","ADAM15","HVGs","THItoGene",0.0378568739635788,2.55466938257916,0.196443081979522,0.071051049926384,0.0366833949455561,0.595047449230548
"test","ADAM15","HVGs","iStar",0.0551273159880335,2.59201972843354,0.402521722595047,0.0393099229137951,0.0541315511327966,0.545668937224242
"test","ADCY3","All Genes","DeepPT",0.0415817492706502,1.43881699842386,0.808952950676929,0.0269989186616767,0.0139025948846278,0.53115397059587
"test","ADCY3","All Genes","DeepSpaCE",0.0149710423176275,1.01117417496932,0.823311753916391,0.0251677121322596,0.00647478139287817,0.561439187592496
