"","x_cord","y_cord","gene"
"Cell_6142",31.347826,277.65942,3.19936164892934
"Cell_6144",574.43445,278.4918,4.26067097246505
"Cell_6122",155.95192,275.34616,2.06031210935601
"Cell_6205",625.129,276.51614,4.33030724572936
"Cell_6143",400.07443,271.92093,0.745392173332613
"Cell_6170",217.07333,277.79333,2.91037940993685
"Cell_6200",247.18462,278.26154,2.11466849278668
"Cell_6121",88.23963,276.3456,2.70830481045032
"Cell_6228",342.30908,280.9,2.85972752028611
"Cell_6204",562.2632,278.25,3.00291155314656
"Cell_6201",352.47873,277.67023,3.53106783384665
"Cell_6202",487,276.86047,0
"Cell_6203",540.11444,286.1199,3.33710982319586
"Cell_6227",105.66038,279.54718,2.76781189398186
"Cell_6229",605.0574,276.81558,3.93897951690473
"Cell_6247",131.96227,282.7321,2.6531198156069
"Cell_6300",361.51886,280.3302,2.66453658613335
"Cell_6272",10.395833,280.20834,4.18388174297787
"Cell_6248",281.15942,281.33817,2.8229283904866
"Cell_6273",384.0898,281.4611,2.31411847557937
"Cell_6349",400.0875,286.25626,1.48643890647897
"Cell_6332",190.71622,282.27026,0
"Cell_6333",599.42975,285.37604,4.1299515378914
"Cell_6401",310.35898,287.06412,3.68025007766374
"Cell_6400",99.64706,288.50327,3.65197147864996
"Cell_6399",18.181818,284.90082,3.14590870614836
"Cell_6441",619.9954,287.90866,4.21476091457481
"Cell_6457",83.888885,285.6111,4.87609529420375
"Cell_6459",281,287.07843,3.35571589231147
"Cell_6479",120.15748,290.24408,3.09483058036005
"Cell_6458",183.0065,292.45456,2.437542416938
"Cell_6481",255.65,291.20834,2.37280236729842
"Cell_6482",325.0548,287.35617,4.41067423867179
"Cell_6480",156.41936,287.0887,2.21529102627847
"Cell_6538",353.49796,292.03674,3.29183764271115
"Cell_6501",392.05264,292.4,0
"Cell_6483",518.0617,289.74075,0
"Cell_6502",565.2615,287.44495,3.5612147940605
"Cell_6503",581.4185,291.14096,4.5254342298293
"Cell_6537",329.58798,291.3691,2.55470616171957
"Cell_6536",219.51562,289.09375,1.47139610619473
"Cell_6558",85.55556,292.66666,3.94803274226657
"Cell_6560",343.11765,293.7745,2.98129235789999
"Cell_6561",443.2564,291.2564,0
"Cell_6582",24.044945,292.17978,0
"Cell_6583",266.87225,296.68613,3.44967675834312
"Cell_6585",591.05554,294.9222,4.0238450376217
"Cell_6584",304.6854,294.83145,4.03012902817208
"Cell_6610",168.98347,290.81818,2.9665662406667
"Cell_6559",235.41454,291.36752,1.03693560603773
"Cell_6611",279.55173,294.12643,2.25522047643934
"Cell_6609",61.89051,295.0292,3.58399871874742
"Cell_6636",76.0625,292.72916,4.30083857371264
"Cell_6637",602.1277,298.18723,4.25968864063521
"Cell_6681",160.66394,295.7459,2.68440164541131
"Cell_6708",570.1648,300.80682,4.14196605878568
"Cell_6707",376.7473,293.16666,1.39090612438415
"Cell_6782",405.3889,300.4192,1.06233966246895
"Cell_6748",365.2857,302.38623,3.04785804239795
"Cell_6727",69.629265,301.90732,2.67690822587564
"Cell_6745",172.0138,302.08966,2.13163873296182
"Cell_6746",245.56288,300.38324,2.88208853558089
"Cell_6749",522.8601,299.43524,2.81363059932723
"Cell_6747",288.63916,297.6701,2.91086114780138
"Cell_6804",25.588236,302.9647,2.30033149995816
"Cell_6805",229.72566,301.55753,3.90590928436521
"Cell_6728",506.3889,302.77777,0
"Cell_6828",535.11664,302.86667,3.64202738454491
"Cell_6806",553.24255,305.94043,4.06487388489556
"Cell_6853",189.95918,300.42856,2.5179649942416
"Cell_6854",319.35483,304.7258,3.65197147864996
"Cell_6902",52.6125,306.45,3.61266938393501
"Cell_6880",329.82278,303.02533,3.1925432699733
"Cell_6879",152.36957,304.49637,2.49684609583033
"Cell_6901",44.38889,303.98148,2.40124599117556
"Cell_6904",117.3617,304.68085,4.34529481820464
"Cell_6906",347.99405,308.5238,3.16687288823481
"Cell_6903",88.63513,305.06757,2.01159297640718
"Cell_6928",530.58234,308.5647,4.22153080955568
"Cell_6905",310.50314,306.56604,2.76564515141267
"Cell_6926",15.178011,309.77487,2.8641633488237
"Cell_6927",246.98734,306.51898,3.42903399795302
"Cell_6900",9.022727,305.13635,0
"Cell_6953",273.49606,308.88977,3.33501388294611
"Cell_7001",507.68323,313.58386,3.24527684913638
"Cell_6978",447.20447,303.37698,0
"Cell_6976",127.59155,308.21127,3.70553698147765
"Cell_6998",61.897728,310.89774,2.99621496793527
"Cell_6977",138.64487,310.6542,3.01642571253984
"Cell_6952",216.60638,308.64362,3.43551444967038
"Cell_6999",226.52632,309.8,2.95962152312254
"Cell_7026",293.8323,309.52795,1.84251616448965
"Cell_7000",380.5147,312.24707,2.68175081853486
"Cell_7002",614.39465,308.31418,3.90650652094501
"Cell_7025",262.88422,311.76843,4.12307076423517
"Cell_7046",281.42682,313.2378,2.37343492076757
"Cell_7048",466.54037,312.64597,0
"Cell_7073",101.20588,311.2549,2.53085093011918
"Cell_7047",300.59756,312.69513,2.24064924142096
"Cell_7074",255.76624,310.63635,4.63970293914129
"Cell_7075",556.6711,312.9079,4.13315873396656
"Cell_7050",577.2062,311.0103,3.61751383215564
"Cell_7098",74.88739,310.23422,2.49089237618035
