"","x_cord","y_cord","group_broad_type"
"cell1036",447.20447,303.37698,"Macrophage"
"cell1040",127.59155,308.21127,"Malignant"
"cell1042",61.897728,310.89774,"Malignant"
"cell1043",138.64487,310.6542,"Malignant"
"cell1044",216.60638,308.64362,"Malignant"
"cell1045",226.52632,309.8,"Malignant"
"cell1047",293.8323,309.52795,"Malignant"
"cell1048",380.5147,312.24707,"Malignant"
"cell1049",614.39465,308.31418,"Myoepi"
"cell1053",262.88422,311.76843,"Stromal"
"cell1054",281.42682,313.2378,"Malignant"
"cell1059",466.54037,312.64597,"Macrophage"
"cell1062",101.20588,311.2549,"Malignant"
"cell1064",300.59756,312.69513,"Malignant"
"cell1065",255.76624,310.63635,"Malignant"
"cell1067",556.6711,312.9079,"Myoepi"
"cell1068",577.2062,311.0103,"Myoepi"
"cell1070",74.88739,310.23422,"Stromal"
"cell1073",13.5,313.5,"Stromal"
"cell1074",49.51852,314.34567,"Malignant"
"cell1076",338.0645,315.51614,"Macrophage"
"cell1078",520.73016,319.1111,"Malignant"
"cell1079",574.9079,317.7434,"Malignant"
"cell1080",129.66327,315.55103,"Malignant"
"cell1081",199.9646,316.00885,"Malignant"
"cell1084",625.3482,315.83035,"Myoepi"
"cell1090",403.57983,318.94116,"Macrophage"
"cell1091",483.43903,315.5,"T"
"cell1092",297.29688,319.375,"Malignant"
"cell1093",455.22342,317.17023,"Stromal"
"cell1094",532.3467,320.06668,"Malignant"
"cell1098",187.68983,323.41177,"Malignant"
"cell1099",366.4889,319.43332,"Malignant"
"cell1100",75.947914,320.65103,"Malignant"
"cell1103",506.77777,319.33334,"Malignant"
"cell1104",552.8717,319.77432,"Malignant"
"cell1105",636.75964,320.68268,"Malignant"
"cell1106",60.616665,319.78333,"Malignant"
"cell1107",106.676926,322.30768,"Malignant"
"cell1110",241.47762,318.76865,"Malignant"
"cell1112",32.234043,320.8156,"Malignant"
"cell1113",46.854652,321.11047,"Malignant"
"cell1114",378.97287,329.86047,"Malignant"
"cell1117",616.3905,323.7143,"Malignant"
"cell1118",606.028,320.36447,"Myoepi"
"cell1120",199.21649,324.74228,"Malignant"
"cell1122",19.205479,322.21918,"Myoepi"
"cell1125",218.3,327.89,"Malignant"
"cell1126",228.8473,324.52695,"Malignant"
"cell1128",584.40424,325.39362,"Malignant"
"cell1129",176.59348,330.72403,"Malignant"
"cell1130",593.5274,324.89874,"Myoepi"
"cell1131",305.0966,329.27557,"Malignant"
"cell1132",503.55045,325.25687,"Malignant"
"cell1134",362.24374,327.8719,"Malignant"
"cell1137",293.07574,326.25757,"Malignant"
"cell1138",12.792453,326.30188,"Myoepi"
"cell1139",122.12676,324.1831,"Stromal"
"cell1142",199.11702,332.47873,"Malignant"
"cell1143",59.29293,329.20203,"Myoepi"
"cell1144",278.26315,327.05847,"Malignant"
"cell1148",511.76923,329.75385,"Myoepi"
