"pred_type","gene","model_id","dataset","cor_pearson","ssim"
"test","RECQL4","GeneCodeR","her2+",0.0723228807136562,0.0261543121779136
"test","RECQL5","GeneCodeR","her2+",0.121491657990957,0.0438024204820785
"test","REEP6","GeneCodeR","her2+",0.125427027476647,0.0478426557443355
"test","RGS1","GeneCodeR","her2+",0.0801637481896854,0.0178825159016002
"test","RHOB","GeneCodeR","her2+",0.188764472702011,0.0801168751593518
"test","RIOK1","GeneCodeR","her2+",0.0318000035390572,0.00890277702969068
"test","RMND1","GeneCodeR","her2+",0.0476801650376885,0.0116111634523528
"test","RNASET2","GeneCodeR","her2+",0.210322192014181,0.110384187398773
"test","RND3","GeneCodeR","her2+",0.0553453651735729,0.0147402475451871
"test","RNF135","GeneCodeR","her2+",0.0637390155098217,0.0178882857846096
"test","RNF170","GeneCodeR","her2+",0.0322046240801231,0.0108087000648846
"test","RRAS","GeneCodeR","her2+",0.0879966995278499,0.0397512941995459
"test","RSL1D1","GeneCodeR","her2+",0.137062974220242,0.0775118217757646
"test","RSRP1","GeneCodeR","her2+",0.0604340220048237,0.0212198218874161
"test","RUVBL1","GeneCodeR","her2+",0.0911404171246556,0.0236862022924786
"test","S100A14","GeneCodeR","her2+",0.188639831375311,0.0953118550432715
"test","S100A9","GeneCodeR","her2+",0.0635805821353373,0.0469119118703273
"test","SAMM50","GeneCodeR","her2+",0.112959382734682,0.0427635712837271
"test","SASH1","GeneCodeR","her2+",0.0088312810852113,0.00573198283847742
"test","SAT1","GeneCodeR","her2+",0.109808986821889,0.0627707575257014
"test","SCAF1","GeneCodeR","her2+",0.0765262375658769,0.0303370780556111
"test","SCD","GeneCodeR","her2+",0.152732071609161,0.0608054469465082
"test","SCNN1D","GeneCodeR","her2+",0.0473752929469557,0.0122338403416644
"test","SCX","GeneCodeR","her2+",0.0715622982420981,0.0240130577441943
"test","SDHB","GeneCodeR","her2+",0.0924362579793789,0.0255393197544003
"test","SEC14L2","GeneCodeR","her2+",0.0338986380413084,0.0132791654771446
"test","SEC23A","GeneCodeR","her2+",0.0154193340999229,0.0072196243432725
"test","SEMA3B","GeneCodeR","her2+",0.0296032498953072,0.00951165331536996
"test","SEMA4B","GeneCodeR","her2+",0.0855753463448196,0.0340466824609928
"test","SF3B4","GeneCodeR","her2+",0.0730358427405052,0.0287933057622098
"test","SFSWAP","GeneCodeR","her2+",0.0696226794187365,0.0219946844714816
"test","SGTA","GeneCodeR","her2+",0.178136387190166,0.103775541828867
"test","SH3BP5L","GeneCodeR","her2+",0.0871891925775177,0.0237999312965647
"test","SIGLEC1","GeneCodeR","her2+",0.0507636812162713,0.0153285502941161
"test","SIGMAR1","GeneCodeR","her2+",0.116206921273731,0.0387380740049813
"test","SLC16A2","GeneCodeR","her2+",0.0203595961479322,0.00407858575382885
"test","SLC16A3","GeneCodeR","her2+",0.158249580431356,0.0771444983859166
"test","SLC22A18","GeneCodeR","her2+",0.0750847778334094,0.0221428976657467
"test","SLC25A24","GeneCodeR","her2+",0.0943472831069598,0.0292993576393102
"test","SLC2A1","GeneCodeR","her2+",0.0787884861588107,0.0269400551120562
"test","SLC2A8","GeneCodeR","her2+",0.0757906264169137,0.0214045313932079
"test","SLC35A2","GeneCodeR","her2+",0.120972111452128,0.0473201276351812
"test","SLC43A1","GeneCodeR","her2+",0.000576271891360352,0.00538226961255774
"test","SLC4A5","GeneCodeR","her2+",0.0424597842388265,0.013994980200668
"test","SLC8B1","GeneCodeR","her2+",0.0867404005993146,0.0340470764820528
"test","SLC9A3R2","GeneCodeR","her2+",0.0846263450121878,0.0410973066612034
"test","SLC9A8","GeneCodeR","her2+",0.0666450378403927,0.0183562968819483
"test","SLFN13","GeneCodeR","her2+",0.064770086386516,0.013835388464609
"test","SLPI","GeneCodeR","her2+",0.048520557254353,0.00813304614584036
"test","SMCHD1","GeneCodeR","her2+",0.0428949022421347,0.0209481414907221
"test","SMG9","GeneCodeR","her2+",0.138264756532466,0.0474372863026569
"test","SMYD2","GeneCodeR","her2+",0.0224504248154339,0.00613275681272712
"test","SNAPC3","GeneCodeR","her2+",0.0493681188150119,0.0113304369584007
"test","SNF8","GeneCodeR","her2+",0.186171009968101,0.106185163727035
"test","SNRPD3","GeneCodeR","her2+",0.142797729096305,0.0558890922747412
"test","SNTA1","GeneCodeR","her2+",0.0659717467691458,0.0188526953171719
"test","SNX33","GeneCodeR","her2+",0.048097041589979,0.0180162231038291
"test","SNX8","GeneCodeR","her2+",0.0807307890612608,0.0292010956811655
"test","SOD3","GeneCodeR","her2+",0.0303242893465209,0.0165684692530185
"test","SOS2","GeneCodeR","her2+",0.0226418933130536,0.0074568575453596
"test","SOX4","GeneCodeR","her2+",0.147865927387179,0.0856960627897831
"test","SP6","GeneCodeR","her2+",0.0634992707588351,0.0185170926518874
"test","SPAG9","GeneCodeR","her2+",0.0928589746513358,0.0326083378059507
"test","SPARC","GeneCodeR","her2+",0.132769102580057,0.0783515928213321
"test","SPIN1","GeneCodeR","her2+",0.0879853806980097,0.028924172115193
"test","SPSB1","GeneCodeR","her2+",0.0809290810134068,0.0312163680073212
"test","SRGN","GeneCodeR","her2+",0.106707470152644,0.0358666965894295
"test","SRPX2","GeneCodeR","her2+",0.0273007291894522,0.00843534924445629
"test","SRR","GeneCodeR","her2+",0.0628217799120929,0.0185088410129964
"test","SRRT","GeneCodeR","her2+",0.164826284127971,0.0682566696801477
"test","SRSF1","GeneCodeR","her2+",0.135829644693809,0.0566898669377218
"test","SRSF5","GeneCodeR","her2+",0.207016854383788,0.111696003388979
"test","SSSCA1","GeneCodeR","her2+",0.0492028064778836,0.0244208031980084
"test","STAMBP","GeneCodeR","her2+",0.0567665686981909,0.0141000227884114
"test","STAT5A","GeneCodeR","her2+",0.00229762742026805,0.00556950017055865
"test","STK17A","GeneCodeR","her2+",0.0601548805046003,0.0179296901989919
"test","STK4","GeneCodeR","her2+",0.043767287257469,0.0110302324553808
"test","STMN1","GeneCodeR","her2+",0.151692490401475,0.0666433864688437
"test","STRN3","GeneCodeR","her2+",0.0375258176901546,0.00912457486849057
"test","STT3A","GeneCodeR","her2+",0.0536359004936916,0.0231606101086342
"test","SUGP1","GeneCodeR","her2+",0.030773969120719,0.00601091303848884
"test","SURF1","GeneCodeR","her2+",0.0291461228086793,0.0121053898157899
"test","SVIL","GeneCodeR","her2+",0.0286923295333494,0.00883648179411457
"test","SYDE1","GeneCodeR","her2+",0.0311528969232186,0.0123123986403479
"test","SYK","GeneCodeR","her2+",0.0586966512109595,0.0177908642491944
"test","TACC3","GeneCodeR","her2+",0.0636028875083467,0.018266084376692
"test","TANC2","GeneCodeR","her2+",0.138842004760847,0.0469431774052979
"test","TARBP1","GeneCodeR","her2+",0.0815653055009509,0.0245614595299596
"test","TAX1BP1","GeneCodeR","her2+",0.100381879679283,0.0377209755387653
"test","TAX1BP3","GeneCodeR","her2+",0.107073947129241,0.0437838128758414
"test","TBC1D10A","GeneCodeR","her2+",0.108417146641829,0.0395274474871557
"test","TBC1D23","GeneCodeR","her2+",0.0974241084873589,0.029709247486366
"test","TBCA","GeneCodeR","her2+",0.0623406197667047,0.0159023091605182
"test","TBXAS1","GeneCodeR","her2+",0.0504840069346007,0.0166391361197805
"test","TCEA2","GeneCodeR","her2+",0.0792647619367824,0.0222099851767351
"test","TCEA3","GeneCodeR","her2+",0.0894465460813338,0.0309401041746953
"test","TCF25","GeneCodeR","her2+",0.159141090060017,0.0884917384700893
"test","TDRD3","GeneCodeR","her2+",0.0192133324877778,0.00527765463942274
"test","TESK1","GeneCodeR","her2+",0.0939322212560405,0.0362498459649816
